,company_name,average_salary,average_age,salary/age,銘柄名,市場・商品区分,33業種区分,17業種区分,かふか5分類,かふか4分類
5695,パウダーテック,663.0,45.6,9639.671052631578,パウダーテック,スタンダード（内国株式）,鉄鋼,鉄鋼・非鉄,産業＆建設,製造
4378,CINC,551.0,31.5,9638.126984126984,ＣＩＮＣ,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
8119,三栄コーポレーション,640.0,42.5,9637.64705882353,三栄コーポレーション,スタンダード（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
9445,フォーバルテレコム,613.0,39.0,9635.102564102564,フォーバルテレコム,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
9467,アルファポリス,574.0,34.2,9633.801169590643,アルファポリス,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
6038,イード,626.0,40.7,9628.402948402947,イード,グロース（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
7220,武蔵精密工業,626.0,40.7,9628.402948402947,武蔵精密工業,プライム（内国株式）,輸送用機器,自動車・輸送機,テクノロジー＆サービス,製造
3844,コムチュア,600.0,37.4,9625.668449197861,コムチュア,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
6432,竹内製作所,601.0,37.53,9624.327204902744,竹内製作所,プライム（内国株式）,機械,機械,産業＆建設,製造
4627,ナトコ,638.0,42.3,9622.789598108748,ナトコ,スタンダード（内国株式）,化学,素材・化学,産業＆建設,製造
1828,田辺工業,628.0,41.0,9619.121951219513,田辺工業,スタンダード（内国株式）,建設業,建設・資材,産業＆建設,サービス
6905,コーセル,628.0,41.0,9619.121951219513,コーセル,プライム（内国株式）,電気機器,電機・精密,テクノロジー＆サービス,製造
5070,ドラフト,546.0,31.0,9616.645161290322,ドラフト,グロース（内国株式）,建設業,建設・資材,産業＆建設,サービス
6200,インソース,553.0,31.8,9616.635220125785,インソース,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
6493,NITTAN,654.0,44.5,9611.595505617977,ＮＩＴＴＡＮ,スタンダード（内国株式）,輸送用機器,自動車・輸送機,テクノロジー＆サービス,製造
2999,ホームポジション,636.0,42.1,9607.980997624703,ホームポジション,スタンダード（内国株式）,不動産業,不動産,金融＆不動産,サービス
3154,メディアス,618.0,39.8,9596.080402010051,メディアスホールディングス,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
3976,シャノン,582.0,35.3,9595.58073654391,シャノン,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
7670,オーウエル,649.0,43.9,9594.555808656036,オーウエル,スタンダード（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
4094,日本化学産業,634.0,41.9,9593.221957040572,日本化学産業,スタンダード（内国株式）,化学,素材・化学,産業＆建設,製造
5122,オカモト,614.0,39.3,9592.773536895675,オカモト,プライム（内国株式）,ゴム製品,自動車・輸送機,テクノロジー＆サービス,製造
2185,シイエム・シイ,637.0,42.3,9592.647754137117,シイエム・シイ,スタンダード（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
3426,アトムリビンテック,637.0,42.3,9592.647754137117,アトムリビンテック,スタンダード（内国株式）,金属製品,建設・資材,産業＆建設,製造
8118,キング,657.0,45.0,9592.2,キング,スタンダード（内国株式）,繊維製品,素材・化学,産業＆建設,製造
3900,クラウドワークス,560.0,32.7,9590.214067278286,クラウドワークス,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
5408,中山製鋼所,648.0,43.8,9586.849315068494,中山製鋼所,プライム（内国株式）,鉄鋼,鉄鋼・非鉄,産業＆建設,製造
